Designator,Footprint,Mid X£¬mm£©,Mid Y£¬mm£©,Layer,Rotation
U1,EQFP144,31.11,18.41,T,45
U2,LQFP48,51.94,13.97,T,0
U3,SC-70-6,46.86,27.94,T,0
U4,SSOP-8,43.05,34.93,T,0
U5,SO-08,5.72,14.48,B,90
U6,SOT23-5,17.14,31.75,T,270
U7,SOT23-5,17.14,35.56,T,270
U8,4-SMD,7.62,10.79,T,180
C1,C0805,7.62,35.56,T,180
C2,C0805,58.42,6.22,T,180
C21,C0603,58.93,21.84,B,270
C22,C0603,56.90,21.84,B,270
C33,C1210,51.94,28.58,T,0
C34,C1206,51.94,25.40,T,0
C101,C0805,10.03,31.75,B,0
C102,C0603,20.57,8.64,B,315
C103,C0603,23.50,5.71,B,315
C104,C0603,34.04,5.59,B,45
C105,C0603,33.66,10.79,B,45
C106,C0603,36.83,13.97,B,45
C107,C0603,43.82,11.43,B,225
C108,C0603,39.50,20.19,B,315
C109,C0603,35.31,24.51,B,315
C110,C0603,23.62,31.24,B,45
C111,C0603,22.23,29.84,B,45
C112,C0603,24.89,22.35,B,225
C113,C0603,21.59,19.05,B,225
C121,C0805,24.77,32.38,T,0
C122,C0603,16.00,14.61,B,0
C123,C0603,24.89,4.32,B,315
C124,C0603,32.26,9.40,B,45
C125,C0603,38.48,15.62,B,45
C126,C0603,41.02,18.67,B,315
C127,C0603,32.00,27.69,B,315
C128,C0603,25.02,32.64,B,45
C129,C0603,23.14,20.57,B,225
C131,C0603,32.38,1.91,B,0
C132,C0603,27.06,34.66,B,45
C141,C0603,26.80,2.41,B,315
C142,C0603,35.56,34.29,B,135
C201,C0603,49.91,11.94,B,180
C202,C0603,49.91,13.97,B,180
C203,C0603,53.59,10.41,B,0
C204,C0603,53.59,12.45,B,0
C205,C0603,53.59,14.73,B,0
C206,C0603,53.59,16.76,B,0
C301,C0805,51.31,31.62,T,0
C302,C0603,46.86,30.48,T,180
C401,C0603,48.26,35.94,B,180
C501,C0603,10.16,18.54,B,180
C601,C0603,13.34,31.75,T,270
C602,C0603,20.96,31.75,T,270
C701,C0603,13.34,35.43,T,270
C702,C0603,20.96,35.56,T,270
C801,C0603,10.67,10.79,T,90
FB1,R0603,7.37,33.02,T,0
FB2,R0603,59.69,9.53,T,180
FB3,R0603,24.77,34.42,T,180
FB4,R0603,12.70,10.79,T,270
R11,R0603,2.29,5.84,B,0
R12,R0603,2.29,3.30,B,0
R13,R0603,19.05,3.30,B,180
R14,R0603,16.13,10.54,T,180
R15,R0603,14.22,14.48,T,180
R16,R0603,40.01,29.21,T,270
R31,R0603,43.05,30.48,T,0
R32,R0603,43.05,27.94,T,0
R33,R0603,56.52,25.40,T,0
RN10,CTS742C083,8.26,16.51,T,270
RN11,CTS742C083,8.26,20.96,T,270
RN12,CTS742C083,8.26,25.40,T,270
RN23,CTS742C083,59.69,15.11,T,270
RN41,CTS742C083,50.16,34.93,T,270
R21,R0603,53.34,19.05,B,0
R22,R0603,54.86,21.84,B,90
R51,R0603,10.16,11.30,B,180
R52,R0603,10.16,13.34,B,180
R53,R0603,10.16,15.37,B,180
